n_clusters,silhouette,davies_bouldin,calinski_harabasz
3,0.2755380932683954,1.1366681575349622,560.4045317274781
4,0.17602075475192333,1.0629755765092295,375.6894683907921
5,0.14869626763547938,1.311216293090956,283.44645092300493
6,0.13146014700140787,1.1854718904980734,227.35456199385246
7,0.15874022324894876,1.290756420199836,309.5036213971723
8,0.18244053714408348,1.3349675924808846,404.4458168561984
9,0.2017188603839063,1.3967481909916994,482.5518300920945
10,0.1753104973767307,1.4815942811078897,453.12635698719083
